id,from,element,trigger,action,target,guard,region
A-S03-015,S03,btn_edit_core_info,click,open_overlay,M15,,sidebar.core_info
A-S03-016,S03,contact_channel_quick_action,click,open_overlay,M08,,sidebar.contact
A-S03-017,S03,btn_edit_tags,click,open_overlay,M03,,sidebar.tags
A-S03-018,S03,tab_call_cockpit,click,mutate,,,tab_bar
A-S03-LSN01,S03,,cache.refreshed,mutate,,,
A-S03-LSN02,S03,,party.merged,mutate,,,
A-S03-LSN03,S03,,tag_chips.add_requested,open_overlay,M03,,
A-S03-LSN04,S03,,tag_chips.remove_requested,mutate,,,
A-S03-LSN05,S03,,tag_chips.chip_clicked,mutate,,,
A-S04-001,S04,candidate_row,click,mutate,,,candidate_list
A-S04-002,S04,btn_merge,click,open_overlay,M01,,detail_pane
A-S04-003,S04,btn_reject,click,mutate,,,detail_pane
A-S04-004,S04,btn_skip,click,mutate,,,detail_pane
A-S04-005,S04,btn_view_party_a,click,navigate,S03,,detail_pane
A-S04-006,S04,btn_view_party_b,click,navigate,S03,,detail_pane
A-S04-007,S04,filter_match_rule,change,mutate,,,topbar
A-S04-LSN01,S04,,dedup.candidate.created,mutate,,,
A-S04-LSN02,S04,,party.merged,mutate,,,
A-S05-001,S05,conv_row,click,navigate,S06,,conv_list
A-S05-002,S05,filter_status,change,mutate,,,topbar
A-S05-003,S05,filter_assignee,change,mutate,,,topbar
A-S05-004,S05,btn_assign_to_me,click,mutate,,,topbar
A-S05-005,S05,conv_assign_btn,click,open_overlay,M09,,conv_list
A-S05-LSN01,S05,,chat.message.received,mutate,,,
A-S05-LSN02,S05,,conversation.assigned,mutate,,,
A-S05-LSN03,S05,,filter_bar.changed,mutate,,,
A-S05-LSN04,S05,,filter_bar.cleared,mutate,,,
A-S06-001,S06,btn_back,click,navigate,S05,,topbar
A-S06-002,S06,btn_close_conversation,click,open_overlay,M10,,topbar
A-S06-003,S06,btn_log_note,click,open_overlay,M08,,topbar
A-S06-004,S06,btn_change_assignee,click,open_overlay,M09,,topbar
A-S06-005,S06,btn_link_party,click,open_overlay,M11,,customer_sidebar
A-S06-006,S06,btn_open_full_profile,click,navigate,S03,,customer_sidebar
A-S06-LSN01,S06,,chat.message.received,mutate,,,
A-S06-LSN02,S06,,conversation.assigned,mutate,,,
A-S07-001,S07,btn_create_task,click,open_overlay,M05,,topbar
A-S07-002,S07,task_card,click,navigate,S15,,board
A-S07-003,S07,task_checkbox,click,mutate,,,board
A-S07-004,S07,task_card_drag,drag_drop,mutate,,,board
A-S07-005,S07,filter_assignee,change,mutate,,,topbar
A-S07-006,S07,filter_campaign,change,mutate,,,topbar
A-S07-007,S07,btn_toggle_view,click,mutate,,,topbar
A-S07-008,S07,filter_priority,change,mutate,,,topbar
A-S07-009,S07,filter_status,change,mutate,,,topbar
A-S07-010,S07,filter_party,change,mutate,,,topbar
A-S07-LSN01,S07,,filter_bar.changed,mutate,,,
A-S07-LSN02,S07,,filter_bar.cleared,mutate,,,
A-S08-001,S08,btn_create_segment,click,navigate,S09,,topbar
A-S08-002,S08,segment_row,click,navigate,S09,,segment_list
A-S08-003,S08,segment_use_in_campaign,click,navigate,S10,,segment_list
A-S08-004,S08,search_input,input,mutate,,,topbar
A-S08-LSN01,S08,,segment.materialized,mutate,,,
A-S09-001,S09,btn_back,click,navigate,S08,,topbar
A-S09-002,S09,btn_add_condition,click,mutate,,,rule_editor
A-S09-003,S09,condition_field_select,change,mutate,,,rule_editor
A-S09-004,S09,condition_remove_btn,click,mutate,,,rule_editor
A-S09-005,S09,btn_preview_list,click,mutate,,,preview_panel
A-S09-006,S09,btn_save_materialize,click,mutate,,segment.name != '' && rule.conditions.length > 0,actions_bar
A-S09-007,S09,btn_cancel,click,navigate,S08,,actions_bar
A-S09-008,S09,segment_type_toggle,change,mutate,,,topbar
A-S09-LSN01,S09,,segment.materialized,mutate,,,
A-S10-001,S10,btn_create_campaign,click,open_overlay,M07,,topbar
A-S10-002,S10,campaign_row,click,navigate,S11,,campaign_list
A-S10-003,S10,filter_status,change,mutate,,,topbar
A-S10-LSN01,S10,,filter_bar.changed,mutate,,,
A-S10-LSN02,S10,,filter_bar.cleared,mutate,,,
A-S11-001,S11,btn_back,click,navigate,S10,,topbar
A-S11-002,S11,target_row_customer,click,navigate,S03,,target_list
A-S11-003,S11,btn_mark_converted,click,open_overlay,M12,,target_list
A-S11-004,S11,btn_mark_skipped,click,mutate,,,target_list
A-S11-005,S11,filter_status,change,mutate,,,target_list
A-S11-006,S11,filter_assignee,change,mutate,,,target_list
A-S11-007,S11,btn_edit_campaign,click,open_overlay,M07,,topbar
A-S11-008,S11,btn_activate_campaign,click,mutate,,campaign.status == 'draft',topbar
A-S11-LSN01,S11,,campaign.target.converted,mutate,,,
A-S11-LSN02,S11,,filter_bar.changed,mutate,,,
A-S11-LSN03,S11,,filter_bar.cleared,mutate,,,
A-S12-001,S12,ad_campaign_row,click,mutate,,,ad_campaign_list
A-S12-002,S12,filter_date_range,change,mutate,,,topbar
A-S12-003,S12,filter_platform,change,mutate,,,topbar
A-S12-004,S12,btn_view_leads,click,mutate,,,stats_panel
A-S12-005,S12,lead_party_link,click,navigate,S03,,stats_panel
A-S13-001,S13,nav_custom_fields,click,mutate,,,settings_nav
A-S13-002,S13,nav_tags,click,mutate,,,settings_nav
A-S13-003,S13,nav_users,click,mutate,,,settings_nav
A-S13-004,S13,btn_add_custom_field,click,open_overlay,M13,,settings_content
A-S13-005,S13,btn_edit_custom_field,click,open_overlay,M13,,settings_content
A-S13-006,S13,btn_delete_custom_field,click,open_overlay,O01,,settings_content
A-S13-007,S13,btn_add_tag,click,open_overlay,M14,,settings_content
A-S13-008,S13,btn_edit_tag,click,open_overlay,M14,,settings_content
A-S13-009,S13,btn_delete_tag,click,mutate,,,settings_content
A-S13-010,S13,btn_edit_user_role,click,mutate,,,settings_content
A-S14-001,S14,btn_copy_talk_track,click,mutate,,,talk_track
A-S14-002,S14,toggle_channel,click,mutate,,,talk_track
A-S14-003,S14,talking_point_checkbox,click,mutate,,,talking_points
A-S14-004,S14,objection_card,click,mutate,,,objection_handling
A-S14-005,S14,objection_search,change,mutate,,,objection_handling
A-S14-006,S14,btn_call,click,open_overlay,M08,,identity_bar
A-S14-007,S14,btn_view_360,click,navigate,S03,,identity_bar
A-S14-008,S14,btn_back_worklist,click,navigate,S01,,topbar
A-S14-009,S14,btn_log_outcome,click,open_overlay,M08,,outcome_bar
A-S14-010,S14,btn_next_in_queue,click,navigate,S14,,outcome_bar
A-S14-011,S14,btn_verify_account,click,open_overlay,M05,,stop_banner
A-S14-020,S14,btn_collect_channel_add,click,mutate,,,collect
A-S14-021,S14,btn_collect_core_save,click,mutate,,,collect
A-S14-022,S14,btn_collect_open_address,click,open_overlay,M15,,collect
A-S14-023,S14,btn_fix_invalid_contact,click,open_overlay,M15,,collect
A-S14-024,S14,btn_reason_schedule,click,open_overlay,M05,,reason_to_call
A-S14-025,S14,reason_mentioned_checkbox,click,mutate,,,reason_to_call
A-S14-026,S14,btn_reason_resolve_async,click,mutate,,,reason_to_call
A-S14-LSN01,S14,,cache.refreshed,mutate,,,
A-S15-001,S15,btn_start,click,mutate,,,lifecycle
A-S15-002,S15,btn_edit,click,open_overlay,M05,,lifecycle
A-S15-003,S15,btn_postpone,click,open_overlay,O03,,lifecycle
A-S15-004,S15,btn_cancel,click,mutate,,task.status != 'done',lifecycle
A-S15-005,S15,btn_log_outcome,click,open_overlay,M08,,close_bar
A-S15-006,S15,btn_join_call_session,click,navigate,S14,,body_contact
A-S15-007,S15,btn_view_360,click,navigate,S03,,header
A-S15-008,S15,internal_checklist_item,click,mutate,,,body_internal
A-S15-009,S15,btn_tool_edit_contact,click,open_overlay,M15,,body_internal
A-S15-010,S15,btn_tool_add_tag,click,open_overlay,M03,,body_internal
A-S15-011,S15,btn_back,click,navigate,S07,,header
A-P01-001,P01,affinity_product_link,click,mutate,,,signals_block
A-P01-002,P01,btn_add_insight,click,open_overlay,M16,,rep_insights_block
A-P01-003,P01,insight_edit_btn,click,open_overlay,M16,,rep_insights_block
A-P01-004,P01,insight_invalidate_btn,click,mutate,,,rep_insights_block
A-P01-005,P01,btn_call_now,click,open_overlay,M08,tab_goi.not_found_in_dom,action_queue
A-P01-006,P01,action_card_order_link,click,navigate,external:/orders/$act.last_order_code,,action_queue
A-P01-007,P01,btn_schedule_task,click,open_overlay,M05,,action_queue
A-P01-008,P01,session_checklist_form,submit,mutate,,,action_queue
A-P01-LSN01,P01,,cache.refreshed,mutate,,,
A-P01-LSN02,P01,,freshness_badge.hovered,mutate,,,
A-P02-001,P02,order_row,click,mutate,,,order_list
A-P02-002,P02,btn_log_activity_with_order,click,open_overlay,M08,,toolbar
A-P02-003,P02,btn_load_more,click,mutate,,,toolbar
A-P03-001,P03,btn_log_activity,click,open_overlay,M08,,toolbar
A-P03-002,P03,filter_type,change,mutate,,,toolbar
A-P03-003,P03,activity_chat_link,click,navigate,S06,,timeline
A-P04-001,P04,btn_create_task,click,open_overlay,M05,,toolbar
A-P04-002,P04,btn_log,click,open_overlay,M08,task.status != 'done' && task.status != 'cancelled',task_list
A-P04-003,P04,btn_done_quick,click,mutate,,task.status != 'done' && task.status != 'cancelled',task_list
A-P04-004,P04,menu_edit,click,open_overlay,M05,,task_list
A-P04-005,P04,menu_postpone,click,open_overlay,O03,task.status != 'done' && task.status != 'cancelled',task_list
A-P04-006,P04,menu_cancel,click,mutate,,task.status != 'done',task_list
A-P04-007,P04,filter_status,change,mutate,,,toolbar
A-P04-008,P04,task_row,click,navigate,S15,,task_list
A-P05-001,P05,btn_add_note,click,open_overlay,M08,,toolbar
A-P05-002,P05,note_edit_btn,click,open_overlay,M08,,notes_list
A-P05-003,P05,note_delete_btn,click,open_overlay,O01,,notes_list
A-P05-004,P05,tab_filter,click,mutate,,,toolbar
A-P05-005,P05,btn_promote_insight,click,open_overlay,M16,,notes_list
A-P06-001,P06,conv_view_btn,click,navigate,S06,,conv_list
A-P06-002,P06,filter_status,change,mutate,,,toolbar
A-M01-001,M01,btn_close,click,close_overlay,return_to_invoker,,header
A-M01-002,M01,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M01-003,M01,btn_confirm_merge,click,mutate,,confirm_checkbox.checked,actions
A-M02-001,M02,btn_close,click,close_overlay,return_to_invoker,,header
A-M02-002,M02,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M02-003,M02,btn_create,click,mutate,,form.display_name != '' && form.phone.valid,actions
A-M02-004,M02,phone_input,blur,mutate,,,body
A-M03-001,M03,btn_close,click,close_overlay,return_to_invoker,,header
A-M03-002,M03,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M03-003,M03,tag_remove_btn,click,mutate,,,body
A-M03-004,M03,tag_add_btn,click,mutate,,,body
A-M03-005,M03,btn_save,click,mutate,,,actions
A-M03-006,M03,tag_search_input,input,mutate,,,body
A-M03-007,M03,btn_create_new_tag,click,open_overlay,M14,,body
A-M04-001,M04,btn_close,click,close_overlay,return_to_invoker,,header
A-M04-002,M04,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M04-003,M04,btn_save,click,mutate,,selected_user_id != null,actions
A-M05-001,M05,btn_close,click,close_overlay,return_to_invoker,,header
A-M05-002,M05,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M05-003,M05,btn_save,click,mutate,,form.title != '' && form.due_at != null,actions
A-M05-004,M05,due_date_input,blur,mutate,,,body
A-M05-005,M05,task_kind_select,change,mutate,,,body
A-M06-001,M06,btn_close,click,close_overlay,return_to_invoker,,header
A-M06-002,M06,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M06-003,M06,btn_save,click,mutate,,form.requiredFields.allValid,actions
A-M07-001,M07,btn_close,click,close_overlay,return_to_invoker,,header
A-M07-002,M07,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M07-003,M07,segment_select,change,mutate,,,body
A-M07-004,M07,btn_save,click,mutate,,form.name != '' && form.segment_id != null && form.scheduled_at != null,actions
A-M08-001,M08,btn_close,click,close_overlay,return_to_invoker,,header
A-M08-002,M08,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M08-003,M08,btn_save,click,mutate,,mode=='log' ? outcome!=null : form.body!='',actions
A-M08-004,M08,hinh_thuc_select,change,mutate,,mode == 'log',body
A-M08-005,M08,outcome_pills,click,mutate,,mode == 'log',body
A-M08-006,M08,schedule_followup_checkbox,click,mutate,,,body
A-M08-007,M08,save_as_note_checkbox,click,mutate,,,body
A-M08-008,M08,create_callback_task_checkbox,click,mutate,,outcome == 'callback',body
A-M09-001,M09,btn_close,click,close_overlay,return_to_invoker,,header
A-M09-002,M09,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M09-003,M09,btn_assign,click,mutate,,selected_user_id != null,actions
A-M10-001,M10,btn_close,click,close_overlay,return_to_invoker,,header
A-M10-002,M10,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M10-003,M10,btn_close_conversation,click,mutate,,,actions
A-M11-001,M11,btn_close,click,close_overlay,return_to_invoker,,header
A-M11-002,M11,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M11-003,M11,search_input,input,mutate,,,body
A-M11-004,M11,party_result_row,click,mutate,,,body
A-M11-005,M11,btn_link_party,click,mutate,,selected_party_id != null,actions
A-M11-006,M11,btn_create_new_party,click,open_overlay,M02,,body
A-M12-001,M12,btn_close,click,close_overlay,return_to_invoker,,header
A-M12-002,M12,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M12-003,M12,order_code_input,blur,mutate,,,body
A-M12-004,M12,btn_record,click,mutate,,form.order_code != '' || form.manual_revenue != null,actions
A-M13-001,M13,btn_close,click,close_overlay,return_to_invoker,,header
A-M13-002,M13,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M13-003,M13,data_type_select,change,mutate,,,body
A-M13-004,M13,btn_save,click,mutate,,form.entity_type != null && form.field_name != '' && form.display_label != '' && form.data_type != null,actions
A-M13-005,M13,btn_add_option,click,mutate,,,body
A-M14-001,M14,btn_close,click,close_overlay,return_to_invoker,,header
A-M14-002,M14,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M14-003,M14,btn_create_tag,click,mutate,,form.name != '' && form.display_label != '' && form.category != null,actions
A-M15-001,M15,btn_close,click,close_overlay,return_to_invoker,,header
A-M15-002,M15,tab_contacts,click,mutate,,,tab_bar
A-M15-003,M15,tab_address,click,mutate,,,tab_bar
A-M15-004,M15,tab_core,click,mutate,,,tab_bar
A-M15-005,M15,btn_add_channel,click,mutate,,,body
A-M15-006,M15,btn_deactivate_channel,click,mutate,,,body
A-M15-007,M15,btn_save,click,mutate,,active_tab == 'core' ? form.display_name != '' : true,actions
A-M15-008,M15,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M16-001,M16,btn_close,click,close_overlay,return_to_invoker,,header
A-M16-002,M16,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-M16-003,M16,btn_save,click,mutate,,form.insight_type != null && form.body != '',actions
A-O01-001,O01,overlay_backdrop,click,close_overlay,,,content
A-O01-002,O01,btn_cancel,click,close_overlay,,,actions
A-O01-003,O01,btn_confirm_delete,click,mutate,,,actions
A-O02-001,O02,overlay_backdrop,click,close_overlay,,,content
A-O02-002,O02,btn_close,click,close_overlay,,,content
A-O02-003,O02,btn_open_full_profile,click,navigate,S03,,actions
A-O03-001,O03,btn_cancel,click,close_overlay,return_to_invoker,,actions
A-O03-002,O03,scrim,click,close_overlay,return_to_invoker,,body
A-O03-003,O03,btn_confirm,click,mutate,,form.date != '',actions
A-C01-001,C01,nav_worklist,click,emit_event,,,
A-C01-002,C01,nav_customers,click,emit_event,,,
A-C01-003,C01,nav_inbox,click,emit_event,,,
A-C01-004,C01,nav_tasks,click,emit_event,,,
A-C01-005,C01,nav_segments,click,emit_event,,,
A-C01-006,C01,nav_campaigns,click,emit_event,,,
A-C01-007,C01,nav_ads,click,emit_event,,,
A-C01-008,C01,nav_settings,click,emit_event,,,
A-C01-009,C01,nav_dedup,click,emit_event,,,
A-C02-001,C02,search_result_item,click,emit_event,,,
A-C02-002,C02,search_input,input,emit_event,,,
A-C02-003,C02,btn_create_new,click,emit_event,,,
A-C03-001,C03,card_call_now_btn,click,emit_event,,,
A-C03-002,C03,card_schedule_btn,click,emit_event,,,
A-C03-003,C03,card_body,click,emit_event,,,
A-C04-001,C04,btn_add_tag,click,emit_event,,,
A-C04-002,C04,tag_chip_remove,click,emit_event,,,
A-C04-003,C04,tag_chip,click,emit_event,,,
A-C05-001,C05,filter_field,change,emit_event,,,
A-C05-002,C05,btn_clear_all,click,emit_event,,,
A-C06-001,C06,badge,hover,emit_event,,,
A-SYS-001,SYS,,system_event,mutate,,,
A-SYS-002,SYS,,system_event,mutate,,,
A-SYS-003,SYS,,system_event,mutate,,,
A-SYS-004,SYS,,system_event,mutate,,,
A-SYS-005,SYS,,system_event,mutate,,,
A-SYS-006,SYS,,system_event,mutate,,,
